Institution Name,System Name,Address,City,Zip Code,Administrative Officer,Administrative Officer Title,Main,Website Address
,,,,,,,Telephone,
Abilene Christian University,,ACU Box 29100,Abilene,79699,Phil Schubert,President,(325) 674-2412,www.acu.edu
Alamo Community College - Northeast Lakeview College,Alamo Community College District,1201 Kitty Hawk Rd,Universal City,78148,Veronica Garcia,President,(210) 485-0000,www.alamo.edu/nlc
Alamo Community College - Northwest Vista College,Alamo Community College District,3535 North Ellison Drive,San Antonio,78251,Amy Bosley,President,(210) 486-4900,www.alamo.edu/nvc
Alamo Community College - Palo Alto College,Alamo Community College District,1400 West Villaret Boulevard,San Antonio,78224,Robert Garza,President,(210) 486-3880,www.alamo.edu/pac
Alamo Community College - San Antonio College,Alamo Community College District,1300 San Pedro Avenue,San Antonio,78212,Robert Vela,President,(210) 486-0959,www.alamo.edu/sac
Alamo Community College - St. Philip's College,Alamo Community College District,1801 Martin Luther King Boulevard,San Antonio,78203,Adena Loston,President,(210) 486-2900,www.alamo.edu/spc/
Alvin Community College,,3110 Mustang Road,Alvin,77511,Robert J. Exley,President,(281) 756-3500,www.alvincollege.edu
Amarillo College,,P.O. Box 447,Amarillo,79178,Denese Skinner,Interim President,(806) 371-5000,www.actx.edu
Amberton University,,1700 Eastgate Drive,Garland,75041,Melinda Reagan,President,(972) 279-6511,www.amberton.edu
Angelina College,,3500 South First,Lufkin,75904,Michael Simon,President,(936) 639-1301,www.angelina.edu
Angelo State University,Texas Tech University System,2601 W. Avenue N,San Angelo,76909,"Ronnie D. Hawkins, Jr.",President,(325) 942-2073,www.angelo.edu
Austin College,,900 N Grand Avenue,Sherman,75090,Steven O'Day,President,(903) 813-3001,www.austincollege.edu
Austin Community College,,5930 Middle Fiskville Road,Austin,78752,Russell Lowery-Hart,Chancellor,(512) 223-7000,www.austincc.edu
Baylor College of Medicine,,One Baylor Plaza,Houston,77030,"Paul Klotman, M.D.",President,(713) 798-4433,www.bcm.tmc.edu
Baylor University,,"One Bear Place, #97056",Waco,76798-7056,Linda Livingstone,President,(254) 710-3555,www.baylor.edu
Blinn College District,,902 College Avenue,Brenham,77833,Mary Hensley,Chancellor,(979) 830-4000,www.blinn.edu
Brazosport College,,500 College Drive,Lake Jackson,77566,Millicent Valek,President,(979) 230-3000,www.brazosport.edu
Central Texas College,,6200 West Central Texas Expwy,Killeen,76549,Michele Carter,Chancellor,(254) 526-7161,www.ctcd.edu
Cisco College,,101 College Heights,Cisco,76437,Thad Anglin,President,(254) 442-5000,www.cisco.edu
Clarendon College,,1122 College Drive,Clarendon,79226,Texas D. Buckhaults,President,(806) 874-3571,www.clarendoncollege.edu
Coastal Bend College,,3800 Charco Road,Beeville,78102,Justin Hoggard,President,(361) 358-2838,www.coastalbend.edu
College of Biblical Studies,,,,,,,,cbshouston.edu/houston/
College of the Mainland Community College District,,1200 Amburn Road,Texas City,77591,Warren Nichols,President,(409) 938-1211,www.com.edu
Collin County Community College District,,3452 Spur 399,McKinney,75069,H. Neil Matkin,President,(972) 758-3801,www.collin.edu
Concordia University Texas,,11400 Concordia University Drive,Austin,78726,Donald Christian,President,(512) 313-3000,www.concordia.edu
Criswell College,,4010 Gaston Avenue,Dallas,75246,Barry Creamer,President,(214) 821-5433,www.criswell.edu
Dallas Baptist University,,3000 Mountain Creek Parkway,Dallas,75211,Adam C. Wright,President,(214) 333-5130,www.dbu.edu
Dallas College Brookhaven Campus,Dallas County Community College District,3939 Valley View Lane Farmers Branch,Dallas,75244-4906,Linda Braddy,President,(972) 860-4700,www.dcccd.edu/about/bhc/
